sex,country,sport,medal
Male,United States,Skeleton,Gold
Male,Italy,Skeleton,Gold
Male,United States,Skeleton,Gold
Female,United States,Skeleton,Gold
Male,Canada,Skeleton,Gold
Female,Switzerland,Skeleton,Gold
Male,Germany,Luge,Gold
Male,Austria,Luge,Gold
Male,Austria,Luge,Gold
Female,Germany,Luge,Gold
Male,Austria,Luge,Gold
Male,East Germany,Luge,Gold
Male,East Germany,Luge,Gold
Female,Italy,Luge,Gold
Male,East Germany,Luge,Gold
Male,East Germany,Luge,Gold
Male,Italy,Luge,Gold
Male,Italy,Luge,Gold
Male,East Germany,Luge,Gold
Female,East Germany,Luge,Gold
Male,East Germany,Luge,Gold
Male,East Germany,Luge,Gold
Male,East Germany,Luge,Gold
Female,East Germany,Luge,Gold
Male,East Germany,Luge,Gold
Male,East Germany,Luge,Gold
Male,East Germany,Luge,Gold
Female,Soviet Union,Luge,Gold
Male,Italy,Luge,Gold
Male,West Germany,Luge,Gold
Male,West Germany,Luge,Gold
Female,East Germany,Luge,Gold
Male,East Germany,Luge,Gold
Male,East Germany,Luge,Gold
Male,East Germany,Luge,Gold
Female,East Germany,Luge,Gold
Male,Germany,Luge,Gold
Male,Germany,Luge,Gold
Male,Germany,Luge,Gold
Female,Austria,Luge,Gold
Male,Germany,Luge,Gold
Male,Italy,Luge,Gold
Male,Italy,Luge,Gold
Female,Italy,Luge,Gold
Male,Germany,Luge,Gold
Male,Germany,Luge,Gold
Male,Germany,Luge,Gold
Female,Germany,Luge,Gold
Male,Italy,Luge,Gold
Male,Germany,Luge,Gold
Male,Germany,Luge,Gold
Female,Germany,Luge,Gold
Male,Italy,Luge,Gold
Male,Austria,Luge,Gold
Male,Austria,Luge,Gold
Female,Germany,Luge,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,United States,Bobsleigh,Gold
Male,United States,Bobsleigh,Gold
Male,United States,Bobsleigh,Gold
Male,United States,Bobsleigh,Gold
Male,United States,Bobsleigh,Gold
Male,United States,Bobsleigh,Gold
Male,United States,Bobsleigh,Gold
Male,United States,Bobsleigh,Gold
Male,United States,Bobsleigh,Gold
Male,United States,Bobsleigh,Gold
Male,United States,Bobsleigh,Gold
Male,United States,Bobsleigh,Gold
Male,United States,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,United States,Bobsleigh,Gold
Male,United States,Bobsleigh,Gold
Male,United States,Bobsleigh,Gold
Male,United States,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Italy,Bobsleigh,Gold
Male,Italy,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Great Britain,Bobsleigh,Gold
Male,Great Britain,Bobsleigh,Gold
Male,Canada,Bobsleigh,Gold
Male,Canada,Bobsleigh,Gold
Male,Canada,Bobsleigh,Gold
Male,Canada,Bobsleigh,Gold
Male,Italy,Bobsleigh,Gold
Male,Italy,Bobsleigh,Gold
Male,Italy,Bobsleigh,Gold
Male,Italy,Bobsleigh,Gold
Male,Italy,Bobsleigh,Gold
Male,Italy,Bobsleigh,Gold
Male,West Germany,Bobsleigh,Gold
Male,West Germany,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,East Germany,Bobsleigh,Gold
Male,East Germany,Bobsleigh,Gold
Male,East Germany,Bobsleigh,Gold
Male,East Germany,Bobsleigh,Gold
Male,East Germany,Bobsleigh,Gold
Male,East Germany,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,East Germany,Bobsleigh,Gold
Male,East Germany,Bobsleigh,Gold
Male,East Germany,Bobsleigh,Gold
Male,East Germany,Bobsleigh,Gold
Male,East Germany,Bobsleigh,Gold
Male,East Germany,Bobsleigh,Gold
Male,East Germany,Bobsleigh,Gold
Male,East Germany,Bobsleigh,Gold
Male,East Germany,Bobsleigh,Gold
Male,East Germany,Bobsleigh,Gold
Male,Soviet Union,Bobsleigh,Gold
Male,Soviet Union,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Austria,Bobsleigh,Gold
Male,Austria,Bobsleigh,Gold
Male,Austria,Bobsleigh,Gold
Male,Austria,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Switzerland,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Italy,Bobsleigh,Gold
Male,Canada,Bobsleigh,Gold
Male,Italy,Bobsleigh,Gold
Male,Canada,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Female,United States,Bobsleigh,Gold
Female,United States,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Male,Germany,Bobsleigh,Gold
Female,Germany,Bobsleigh,Gold
Female,Germany,Bobsleigh,Gold
Male,Republic of Korea,Short Track Speed Skating,Gold
Male,Republic of Korea,Short Track Speed Skating,Gold
Male,Republic of Korea,Short Track Speed Skating,Gold
Male,Republic of Korea,Short Track Speed Skating,Gold
Male,Republic of Korea,Short Track Speed Skating,Gold
Male,Republic of Korea,Short Track Speed Skating,Gold
Female,United States,Short Track Speed Skating,Gold
Female,Canada,Short Track Speed Skating,Gold
Female,Canada,Short Track Speed Skating,Gold
Female,Canada,Short Track Speed Skating,Gold
Female,Canada,Short Track Speed Skating,Gold
Female,Canada,Short Track Speed Skating,Gold
Male,Republic of Korea,Short Track Speed Skating,Gold
Male,Republic of Korea,Short Track Speed Skating,Gold
Male,Italy,Short Track Speed Skating,Gold
Male,Italy,Short Track Speed Skating,Gold
Male,Italy,Short Track Speed Skating,Gold
Male,Italy,Short Track Speed Skating,Gold
Male,Italy,Short Track Speed Skating,Gold
Female,United States,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Male,Japan,Short Track Speed Skating,Gold
Male,Republic of Korea,Short Track Speed Skating,Gold
Male,Canada,Short Track Speed Skating,Gold
Male,Canada,Short Track Speed Skating,Gold
Male,Canada,Short Track Speed Skating,Gold
Male,Canada,Short Track Speed Skating,Gold
Male,Canada,Short Track Speed Skating,Gold
Female,Canada,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Male,Canada,Short Track Speed Skating,Gold
Male,Australia,Short Track Speed Skating,Gold
Male,United States,Short Track Speed Skating,Gold
Male,Canada,Short Track Speed Skating,Gold
Male,Canada,Short Track Speed Skating,Gold
Male,Canada,Short Track Speed Skating,Gold
Male,Canada,Short Track Speed Skating,Gold
Male,Canada,Short Track Speed Skating,Gold
Female,People's Republic of China,Short Track Speed Skating,Gold
Female,People's Republic of China,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Male,United States,Short Track Speed Skating,Gold
Male,Republic of Korea,Short Track Speed Skating,Gold
Male,Republic of Korea,Short Track Speed Skating,Gold
Male,Republic of Korea,Short Track Speed Skating,Gold
Male,Republic of Korea,Short Track Speed Skating,Gold
Male,Republic of Korea,Short Track Speed Skating,Gold
Male,Republic of Korea,Short Track Speed Skating,Gold
Male,Republic of Korea,Short Track Speed Skating,Gold
Female,People's Republic of China,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
Female,Republic of Korea,Short Track Speed Skating,Gold
