sex,country,sport,medal
M,Belgium,Cycling Road,Gold Medal
M,Italy,Cycling Road,Silver Medal
M,Belgium,Cycling Road,Bronze Medal
W,Australia,Cycling Road,Gold Medal
W,Great Britain,Cycling Road,Silver Medal
W,United States,Cycling Road,Bronze Medal
W,China,Diving,Gold Medal
W,United States,Diving,Silver Medal
W,Great Britain,Diving,Bronze Medal
M,Korea,Fencing,Gold Medal
M,Tunisia,Fencing,Silver Medal
M,Italy,Fencing,Bronze Medal
W,"Hong Kong, China",Fencing,Gold Medal
W,France,Fencing,Silver Medal
W,Hungary,Fencing,Bronze Medal
M,Kazakhstan,Judo,Gold Medal
M,France,Judo,Silver Medal
M,Japan,Judo,Bronze Medal
M,Spain,Judo,Bronze Medal
W,Japan,Judo,Gold Medal
W,Mongolia,Judo,Silver Medal
W,France,Judo,Bronze Medal
W,Sweden,Judo,Bronze Medal
M,France,Rugby Sevens,Gold Medal
M,Fiji,Rugby Sevens,Silver Medal
M,South Africa,Rugby Sevens,Bronze Medal
X,China,Shooting,Gold Medal
X,Korea,Shooting,Silver Medal
X,Kazakhstan,Shooting,Bronze Medal
M,United States,Swimming,Gold Medal
M,Australia,Swimming,Silver Medal
M,Italy,Swimming,Bronze Medal
M,Germany,Swimming,Gold Medal
M,Australia,Swimming,Silver Medal
M,Korea,Swimming,Bronze Medal
W,Australia,Swimming,Gold Medal
W,United States,Swimming,Silver Medal
W,China,Swimming,Bronze Medal
W,Australia,Swimming,Gold Medal
W,Canada,Swimming,Silver Medal
W,United States,Swimming,Bronze Medal
W,Korea,Archery,Gold Medal
W,China,Archery,Silver Medal
W,Mexico,Archery,Bronze Medal
W,Australia,Canoe Slalom,Gold Medal
W,Poland,Canoe Slalom,Silver Medal
W,Great Britain,Canoe Slalom,Bronze Medal
W,France,Cycling Mountain Bike,Gold Medal
W,United States,Cycling Mountain Bike,Silver Medal
W,Sweden,Cycling Mountain Bike,Bronze Medal
M,Japan,Fencing,Gold Medal
M,France,Fencing,Silver Medal
M,Egypt,Fencing,Bronze Medal
W,United States,Fencing,Gold Medal
