sex,country,total
Female,Algeria,3
Female,Argentina,96
Female,Australasia,2
Female,Australia,607
Female,Austria,117
Female,Azerbaijan,13
Female,Bahrain,4
Female,Belarus,86
Female,Belgium,28
Female,Bermuda,1
Female,Bohemia,2
Female,Brazil,164
Female,Bulgaria,141
Female,Burundi,1
Female,Cameroon,3
Female,Canada,706
Female,Chile,1
Female,Chinese Taipei,26
Female,Colombia,17
Female,Costa Rica,4
Female,Croatia,16
Female,Cuba,108
Female,Czechia,55
Female,Czechoslovakia,89
Female,Côte d'Ivoire,2
Female,Democratic People's Republic of Korea,35
Female,Denmark,115
Female,Dominican Republic,4
Female,East Germany,456
Female,Ecuador,2
Female,Egypt,7
Female,Estonia,10
Female,Ethiopia,26
Female,Fiji,13
Female,Finland,175
Female,France,319
Female,Georgia,1
Female,Germany,776
Female,Great Britain,505
Female,Greece,41
Female,"Hong Kong, China",9
Female,Hungary,291
Female,Iceland,1
Female,Independent Olympic Athletes,2
Female,India,8
Female,Indonesia,20
Female,Ireland,13
Female,Islamic Republic of Iran,1
Female,Israel,9
Female,Italy,274
Female,Jamaica,112
Female,Japan,412
Female,Kazakhstan,21
Female,Kenya,29
Female,Kosovo,3
Female,Kyrgyzstan,2
Female,Latvia,3
Female,Liechtenstein,6
Female,Lithuania,12
Female,Malaysia,4
Female,Mexico,23
Female,Mongolia,6
Female,Montenegro,15
Female,Morocco,4
Female,Mozambique,2
Female,Namibia,1
Female,Netherlands,529
Female,New Zealand,93
Female,Nigeria,22
Female,Norway,294
Female,People's Republic of China,781
Female,Peru,12
Female,Philippines,3
Female,Poland,159
Female,Portugal,7
Female,Puerto Rico,2
Female,ROC,127
Female,Republic of Korea,347
Female,Romania,357
Female,Russian Federation,520
Female,Russian Olympic Committee,127
Female,Samoa,1
Female,San Marino,2
Female,Serbia,43
Female,Serbia and Montenegro,4
Female,Singapore,7
Female,Slovakia,15
Female,Slovenia,24
Female,South Africa,28
Female,Soviet Union,701
Female,Spain,160
Female,Sri Lanka,1
Female,Sweden,295
Female,Switzerland,137
Female,Syrian Arab Republic,1
Female,Tajikistan,1
Female,Thailand,19
Female,The Bahamas,15
Female,Tunisia,3
Female,Turkmenistan,1
Female,Türkiye,11
Female,Uganda,1
Female,Ukraine,127
Female,Unified Team,124
Female,United States,2169
Female,Uzbekistan,2
Female,Venezuela,5
Female,Vietnam,1
Female,West Germany,145
Female,Yugoslavia,60
Female,Zimbabwe,23
M,AIN,3
M,Albania,2
M,Algeria,1
M,Argentina,1
M,Armenia,4
M,Australia,20
M,Austria,2
M,Azerbaijan,7
M,Bahrain,2
M,Belgium,5
M,Botswana,2
M,Brazil,7
M,Bulgaria,5
M,Cabo Verde,1
M,Canada,9
M,Chile,1
M,China,34
M,Chinese Taipei,3
M,Colombia,2
M,Croatia,3
M,Cuba,6
M,Cyprus,1
M,Czechia,3
M,Côte d'Ivoire,1
M,DPR Korea,1
M,Denmark,5
M,Dominican Republic,2
M,Ecuador,1
M,Egypt,2
M,Ethiopia,2
M,Fiji,1
M,France,38
M,Georgia,7
M,Germany,11
M,Great Britain,30
M,Greece,7
M,Grenada,2
M,Guatemala,1
M,"Hong Kong, China",1
M,Hungary,11
M,IR Iran,10
M,India,4
M,Indonesia,2
M,Ireland,5
M,Israel,3
M,Italy,23
M,Jamaica,5
M,Japan,23
M,Jordan,1
M,Kazakhstan,5
M,Kenya,4
M,Korea,10
M,Kyrgyzstan,4
M,Lithuania,2
M,Malaysia,2
M,Mexico,3
M,Morocco,2
M,Netherlands,11
M,New Zealand,5
M,Norway,4
M,Pakistan,1
M,Peru,1
M,Philippines,2
M,Poland,2
M,Portugal,3
M,Puerto Rico,1
M,Qatar,1
M,Republic of Moldova,3
M,Romania,3
M,Serbia,3
M,Singapore,1
M,Slovakia,1
M,Slovenia,1
M,South Africa,3
M,Spain,12
M,Sweden,5
M,Switzerland,2
M,Tajikistan,3
M,Thailand,3
M,Tunisia,3
M,Türkiye,2
M,Uganda,1
M,Ukraine,6
M,United States,52
M,Uzbekistan,11
M,Zambia,1
Male,Afghanistan,2
Male,Algeria,14
Male,Argentina,245
Male,Armenia,18
Male,Australasia,43
Male,Australia,883
Male,Austria,390
Male,Azerbaijan,36
Male,Barbados,1
Male,Belarus,65
Male,Belgium,489
Male,Bermuda,1
Male,Bohemia,8
Male,Botswana,6
Male,Brazil,398
Male,Bulgaria,216
Male,Burkina Faso,1
Male,Burundi,1
Male,Cameroon,21
Male,Canada,969
Male,Chile,36
