country,total
AIN,5
Afghanistan,2
Albania,2
Algeria,20
Argentina,344
Armenia,22
Australasia,45
Australia,1543
Austria,512
Azerbaijan,56
Bahrain,8
Barbados,1
Belarus,151
Belgium,527
Bermuda,2
Bohemia,10
Botswana,8
Brazil,582
Bulgaria,364
Burkina Faso,1
Burundi,2
Cabo Verde,1
Cameroon,24
Canada,1702
Chile,39
China,92
Chinese Taipei,72
Colombia,38
Costa Rica,4
Croatia,168
Cuba,455
Cyprus,2
Czechia,180
Czechoslovakia,495
Côte d'Ivoire,5
DPR Korea,6
Democratic People's Republic of Korea,69
Denmark,637
Djibouti,1
Dominica,1
Dominican Republic,42
EOR,1
East Germany,1031
Ecuador,10
Egypt,39
Eritrea,1
Estonia,56
Ethiopia,62
Fiji,40
Finland,990
France,2040
Gabon,1
Georgia,47
Germany,2477
Ghana,24
Great Britain,2437
Greece,180
Grenada,5
Guatemala,3
Guyana,1
Haiti,6
"Hong Kong, China",16
Hungary,1237
IR Iran,12
Iceland,17
Independent Olympic Athletes,5
India,266
Indonesia,52
Iraq,1
Ireland,51
Islamic Republic of Iran,76
Israel,30
Italy,1791
Jamaica,194
Japan,1172
Jordan,4
Kazakhstan,86
Kenya,133
Kingdom of Saudi Arabia,7
Korea,32
Kosovo,5
Kuwait,3
Kyrgyzstan,13
Latvia,48
Lebanon,4
Liechtenstein,10
Lithuania,67
Luxembourg,7
Malaysia,21
Mauritius,1
Mexico,151
Monaco,1
Mongolia,31
Montenegro,15
Morocco,26
Mozambique,2
Namibia,5
Nepal,21
Netherlands,1277
Netherlands Antilles,1
New Zealand,319
Niger,2
Nigeria,120
North Macedonia,2
Norway,1199
Pakistan,141
Panama,4
Paraguay,22
People's Republic of China,1198
Peru,16
Philippines,18
Poland,643
Portugal,49
Puerto Rico,12
Qatar,10
ROC,309
Republic of Korea,748
Republic of Moldova,11
Romania,680
Russian Federation,1121
Russian Olympic Committee,309
Saint Lucia,2
Samoa,1
San Marino,4
Senegal,1
Serbia,125
Serbia and Montenegro,66
Singapore,10
Slovakia,84
Slovenia,71
South Africa,141
Soviet Union,2546
Spain,608
Sri Lanka,2
Sudan,1
Suriname,2
Sweden,1667
Switzerland,755
Syrian Arab Republic,4
Tajikistan,7
Thailand,41
The Bahamas,42
Togo,1
Tonga,1
Trinidad and Tobago,34
Tunisia,18
Turkmenistan,1
Türkiye,111
Uganda,13
Ukraine,239
Unified Team,291
United Arab Emirates,2
United Arab Republic,2
United Republic of Tanzania,2
United States,6420
United States Virgin Islands,1
Uruguay,76
Uzbekistan,50
Venezuela,19
Vietnam,5
West Germany,608
West Indies Federation,7
Yugoslavia,419
Zambia,3
Zimbabwe,23
