sport,country,total
3x3 Basketball,France,1
3x3 Basketball,Germany,1
3x3 Basketball,Latvia,4
3x3 Basketball,Lithuania,1
3x3 Basketball,Netherlands,1
3x3 Basketball,People's Republic of China,4
3x3 Basketball,ROC,8
3x3 Basketball,Russian Olympic Committee,8
3x3 Basketball,Serbia,4
3x3 Basketball,Spain,1
3x3 Basketball,United States,5
Aeronautics,Switzerland,1
Alpine Skiing,Australia,1
Alpine Skiing,Austria,138
Alpine Skiing,Canada,12
Alpine Skiing,Croatia,10
Alpine Skiing,Czechia,2
Alpine Skiing,Czechoslovakia,1
Alpine Skiing,Finland,1
Alpine Skiing,France,51
Alpine Skiing,Germany,36
Alpine Skiing,Italy,36
Alpine Skiing,Japan,1
Alpine Skiing,Liechtenstein,10
Alpine Skiing,Luxembourg,2
Alpine Skiing,New Zealand,1
Alpine Skiing,Norway,50
Alpine Skiing,Russian Federation,1
Alpine Skiing,Slovakia,1
Alpine Skiing,Slovenia,8
Alpine Skiing,Soviet Union,1
Alpine Skiing,Spain,2
Alpine Skiing,Sweden,19
Alpine Skiing,Switzerland,79
Alpine Skiing,United States,48
Alpine Skiing,West Germany,9
Alpine Skiing,Yugoslavia,2
Alpinism,Australia,21
Alpinism,Germany,2
Alpinism,Great Britain,21
Alpinism,India,21
Alpinism,Nepal,21
Alpinism,Switzerland,2
Archery,Australia,5
Archery,Belgium,52
Archery,China,1
Archery,Chinese Taipei,12
Archery,Finland,6
Archery,France,50
Archery,Germany,11
Archery,Great Britain,13
Archery,Indonesia,3
Archery,Italy,17
Archery,Japan,11
Archery,Korea,7
Archery,Mexico,5
Archery,Netherlands,11
Archery,People's Republic of China,19
Archery,Poland,4
Archery,ROC,4
Archery,Republic of Korea,78
Archery,Russian Federation,4
Archery,Russian Olympic Committee,4
Archery,Soviet Union,7
Archery,Spain,3
Archery,Sweden,2
Archery,Türkiye,2
Archery,Ukraine,8
Archery,Unified Team,4
Archery,United States,59
Art Competitions,Austria,9
Art Competitions,Belgium,8
Art Competitions,Canada,2
Art Competitions,Czechoslovakia,3
Art Competitions,Denmark,9
Art Competitions,Finland,5
Art Competitions,France,13
Art Competitions,Germany,24
Art Competitions,Great Britain,9
Art Competitions,Greece,1
Art Competitions,Hungary,4
Art Competitions,Ireland,3
Art Competitions,Italy,14
Art Competitions,Japan,2
Art Competitions,Luxembourg,3
Art Competitions,Monaco,1
Art Competitions,Netherlands,6
Art Competitions,Norway,1
Art Competitions,Poland,8
Art Competitions,South Africa,2
Art Competitions,Sweden,4
Art Competitions,Switzerland,7
Art Competitions,United States,9
Artistic Gymnastics,Algeria,1
Artistic Gymnastics,Armenia,2
Artistic Gymnastics,Belarus,4
Artistic Gymnastics,Belgium,49
Artistic Gymnastics,Brazil,10
Artistic Gymnastics,Bulgaria,10
Artistic Gymnastics,Canada,1
Artistic Gymnastics,China,9
Artistic Gymnastics,Chinese Taipei,2
Artistic Gymnastics,Colombia,1
Artistic Gymnastics,Croatia,2
Artistic Gymnastics,Czechoslovakia,78
Artistic Gymnastics,Democratic People's Republic of Korea,3
Artistic Gymnastics,Denmark,93
Artistic Gymnastics,East Germany,86
Artistic Gymnastics,Finland,99
Artistic Gymnastics,France,54
Artistic Gymnastics,Germany,80
Artistic Gymnastics,Great Britain,65
Artistic Gymnastics,Greece,16
Artistic Gymnastics,Hungary,113
Artistic Gymnastics,Ireland,1
Artistic Gymnastics,Israel,2
Artistic Gymnastics,Italy,102
Artistic Gymnastics,Japan,178
Artistic Gymnastics,Kazakhstan,1
Artistic Gymnastics,Latvia,2
Artistic Gymnastics,Netherlands,12
Artistic Gymnastics,Norway,102
Artistic Gymnastics,People's Republic of China,120
Artistic Gymnastics,Philippines,2
Artistic Gymnastics,Poland,9
Artistic Gymnastics,ROC,14
Artistic Gymnastics,Republic of Korea,11
Artistic Gymnastics,Romania,136
Artistic Gymnastics,Russian Federation,83
Artistic Gymnastics,Russian Olympic Committee,14
Artistic Gymnastics,Soviet Union,288
Artistic Gymnastics,Spain,5
Artistic Gymnastics,Sweden,103
Artistic Gymnastics,Switzerland,82
Artistic Gymnastics,Türkiye,1
Artistic Gymnastics,Ukraine,24
Artistic Gymnastics,Unified Team,28
Artistic Gymnastics,United States,215
Artistic Gymnastics,Uzbekistan,1
Artistic Gymnastics,West Germany,1
Artistic Gymnastics,Yugoslavia,18
Artistic Swimming,Canada,26
Artistic Swimming,China,2
Artistic Swimming,France,2
Artistic Swimming,Great Britain,1
Artistic Swimming,Japan,54
Artistic Swimming,Netherlands,1
Artistic Swimming,People's Republic of China,41
Artistic Swimming,ROC,10
Artistic Swimming,Russian Federation,54
Artistic Swimming,Russian Olympic Committee,10
Artistic Swimming,Spain,23
Artistic Swimming,Ukraine,10
Artistic Swimming,United States,31
Athletics,Algeria,10
Athletics,Argentina,5
Athletics,Australasia,1
Athletics,Australia,102
Athletics,Austria,8
Athletics,Bahrain,6
Athletics,Barbados,1
Athletics,Belarus,15
Athletics,Belgium,22
Athletics,Bohemia,1
Athletics,Botswana,8
Athletics,Brazil,37
Athletics,Bulgaria,19
Athletics,Burkina Faso,1
Athletics,Burundi,2
Athletics,Cameroon,2
Athletics,Canada,127
Athletics,Chile,2
Athletics,China,4
Athletics,Chinese Taipei,2
Athletics,Colombia,5
Athletics,Croatia,6
Athletics,Cuba,68
Athletics,Czechia,16
Athletics,Czechoslovakia,24
Athletics,Côte d'Ivoire,1
Athletics,Denmark,7
Athletics,Djibouti,1
Athletics,Dominica,1
Athletics,Dominican Republic,10
Athletics,East Germany,160
Athletics,Ecuador,4
Athletics,Eritrea,1
Athletics,Estonia,6
